trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
204,False,"{'a': 0.1, 'e': 0.958384}",20,0,-138.7576340001606,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
205,False,"{'a': 0.1, 'e': 0.957975}",20,9,-12.485422556923549,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.1, 'e': 0.957564}",35,0,-145.9036339523144,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
207,False,"{'a': 0.1, 'e': 0.957151}",20,0,-142.94311408791077,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
208,False,"{'a': 0.1, 'e': 0.956736}",30,0,-271.87101277843595,"{0: 14, 1: 0, 2: 9, 3: 4, 4: 3}",0
209,False,"{'a': 0.1, 'e': 0.956319}",20,0,-83.42858756068053,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
210,False,"{'a': 0.1, 'e': 0.9559}",30,0,-219.1263370305166,"{0: 14, 1: 8, 2: 3, 3: 2, 4: 3}",0
211,False,"{'a': 0.1, 'e': 0.955479}",25,5,-56.899253952407534,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",1
212,False,"{'a': 0.1, 'e': 0.955056}",25,0,-68.64109903822992,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
213,False,"{'a': 0.1, 'e': 0.954631}",20,0,-115.6974835717063,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
214,False,"{'a': 0.1, 'e': 0.954204}",25,0,-47.25237169062874,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
215,False,"{'a': 0.1, 'e': 0.953775}",25,8,-98.72790394058688,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 2}",1
216,False,"{'a': 0.1, 'e': 0.953344}",25,0,-101.13744227467721,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
217,False,"{'a': 0.1, 'e': 0.952911}",20,0,-66.89576450416762,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
218,False,"{'a': 0.1, 'e': 0.952476}",20,0,-105.07819388438291,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
219,False,"{'a': 0.1, 'e': 0.952039}",25,0,-130.3317326822626,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
220,False,"{'a': 0.1, 'e': 0.9516}",20,0,-248.34090179310078,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
221,False,"{'a': 0.1, 'e': 0.951159}",25,0,-166.06985534487183,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
222,False,"{'a': 0.1, 'e': 0.950716}",25,0,-164.77864833851532,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
223,False,"{'a': 0.1, 'e': 0.950271}",20,0,-18.181910272827366,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
224,False,"{'a': 0.1, 'e': 0.949824}",25,0,-60.13896031038735,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
225,False,"{'a': 0.1, 'e': 0.949375}",25,0,-153.33003017948565,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
226,False,"{'a': 0.1, 'e': 0.948924}",20,0,-79.16064488787659,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
227,False,"{'a': 0.1, 'e': 0.948471}",30,0,-202.57932228217402,"{0: 14, 1: 3, 2: 8, 3: 4, 4: 1}",0
228,False,"{'a': 0.1, 'e': 0.948016}",30,0,-144.54434190340422,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
229,False,"{'a': 0.1, 'e': 0.947559}",20,0,-135.90765654960674,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
230,False,"{'a': 0.1, 'e': 0.9471}",25,0,-200.7585552210497,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
231,False,"{'a': 0.1, 'e': 0.946639}",30,11,-52.61124467129264,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
232,False,"{'a': 0.1, 'e': 0.946176}",20,0,-62.38903035781869,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
233,False,"{'a': 0.1, 'e': 0.945711}",20,0,-55.04656581996983,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
234,False,"{'a': 0.1, 'e': 0.945244}",20,5,-44.73200577699549,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
235,False,"{'a': 0.1, 'e': 0.944775}",25,0,-125.77113244034248,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
236,False,"{'a': 0.1, 'e': 0.944304}",20,0,-207.6157167742484,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
237,False,"{'a': 0.1, 'e': 0.943831}",20,7,-4.546603823342444,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.1, 'e': 0.943356}",20,0,-132.58122822721674,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
239,False,"{'a': 0.1, 'e': 0.942879}",25,0,-76.42438247751069,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
240,False,"{'a': 0.1, 'e': 0.9424}",30,0,-147.29944524743445,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
241,False,"{'a': 0.1, 'e': 0.941919}",20,0,-75.32162862477455,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
242,False,"{'a': 0.1, 'e': 0.941436}",35,0,-95.53163481520278,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
243,False,"{'a': 0.1, 'e': 0.940951}",30,0,-129.3865223220161,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
244,False,"{'a': 0.1, 'e': 0.940464}",20,0,-125.7095325638698,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
245,False,"{'a': 0.1, 'e': 0.939975}",30,0,-187.7798292221365,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
246,False,"{'a': 0.1, 'e': 0.939484}",25,0,-60.34894483714683,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
247,False,"{'a': 0.1, 'e': 0.938991}",25,0,-107.92865880462455,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
248,False,"{'a': 0.1, 'e': 0.938496}",25,0,-142.8004138236562,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
249,False,"{'a': 0.1, 'e': 0.937999}",25,13,-15.69207108026364,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
250,False,"{'a': 0.1, 'e': 0.9375}",20,0,-18.40453348950678,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
251,False,"{'a': 0.1, 'e': 0.936999}",30,0,-156.56454789495345,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
252,False,"{'a': 0.1, 'e': 0.936496}",25,0,-218.64447288432302,"{0: 10, 1: 0, 2: 11, 3: 2, 4: 2}",0
253,False,"{'a': 0.1, 'e': 0.935991}",25,0,-82.39216774880192,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
254,False,"{'a': 0.1, 'e': 0.935484}",25,0,-196.63023281174338,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
255,False,"{'a': 0.1, 'e': 0.934975}",25,0,-26.38497281368788,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
256,False,"{'a': 0.1, 'e': 0.934464}",20,0,-66.80452909943955,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
257,False,"{'a': 0.1, 'e': 0.933951}",20,0,-86.48014457864306,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
258,False,"{'a': 0.1, 'e': 0.933436}",20,0,-86.56833262517914,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
259,False,"{'a': 0.1, 'e': 0.932919}",20,0,-205.17666533059045,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 4}",0
260,False,"{'a': 0.1, 'e': 0.9324}",20,0,-119.285011249883,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
261,False,"{'a': 0.1, 'e': 0.931879}",20,0,-44.574663404341834,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
262,False,"{'a': 0.1, 'e': 0.931356}",25,0,-173.11267482909716,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
263,False,"{'a': 0.1, 'e': 0.930831}",20,0,-67.34783318836153,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
264,False,"{'a': 0.1, 'e': 0.930304}",25,8,-37.12475326092174,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
265,False,"{'a': 0.1, 'e': 0.929775}",20,0,-147.32572907672468,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
266,False,"{'a': 0.1, 'e': 0.929244}",20,0,-95.32013477564817,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
267,False,"{'a': 0.1, 'e': 0.9287110000000001}",20,0,-108.73786460383893,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
268,False,"{'a': 0.1, 'e': 0.928176}",20,0,-28.177789319775883,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
269,False,"{'a': 0.1, 'e': 0.927639}",25,0,-163.53768055410697,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
270,False,"{'a': 0.1, 'e': 0.9271}",20,12,11.33037882706432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.1, 'e': 0.926559}",20,2,-18.577448101945883,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
272,False,"{'a': 0.1, 'e': 0.926016}",25,0,-183.42588598162277,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
273,False,"{'a': 0.1, 'e': 0.925471}",25,0,-134.78677727521304,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
274,False,"{'a': 0.1, 'e': 0.924924}",20,0,-15.466455592942463,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
275,False,"{'a': 0.1, 'e': 0.924375}",25,0,-171.85557503733062,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
276,False,"{'a': 0.1, 'e': 0.923824}",25,0,-145.4468429455331,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
277,False,"{'a': 0.1, 'e': 0.923271}",25,0,-85.84271001839379,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
278,False,"{'a': 0.1, 'e': 0.922716}",20,0,-56.18033995752622,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
279,False,"{'a': 0.1, 'e': 0.922159}",20,0,-129.9695786447258,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
280,False,"{'a': 0.1, 'e': 0.9216}",25,0,-117.47249439679345,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
281,False,"{'a': 0.1, 'e': 0.921039}",20,0,-53.08711348170656,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
282,False,"{'a': 0.1, 'e': 0.920476}",30,0,-114.26503265114786,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
283,False,"{'a': 0.1, 'e': 0.919911}",25,0,-135.80797023816555,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
284,False,"{'a': 0.1, 'e': 0.919344}",20,12,-30.58420492333983,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
285,False,"{'a': 0.1, 'e': 0.918775}",20,0,-75.03336211379816,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
286,False,"{'a': 0.1, 'e': 0.918204}",20,0,-90.02368277922278,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
287,False,"{'a': 0.1, 'e': 0.917631}",20,0,-94.70891294615954,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
288,False,"{'a': 0.1, 'e': 0.917056}",30,0,-183.6392330141685,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
289,False,"{'a': 0.1, 'e': 0.916479}",25,0,-92.12595706206041,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
290,False,"{'a': 0.1, 'e': 0.9159}",20,0,-63.80061998575902,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
291,False,"{'a': 0.1, 'e': 0.915319}",25,0,-243.02855857310908,"{0: 9, 1: 6, 2: 4, 3: 3, 4: 3}",0
292,False,"{'a': 0.1, 'e': 0.914736}",25,0,-155.976999906353,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
293,False,"{'a': 0.1, 'e': 0.914151}",25,0,-53.61066677533459,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
294,False,"{'a': 0.1, 'e': 0.913564}",20,0,-151.28105424778425,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
295,False,"{'a': 0.1, 'e': 0.912975}",20,0,-39.52049547326375,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
296,False,"{'a': 0.1, 'e': 0.912384}",20,0,-105.18323045635456,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
297,False,"{'a': 0.1, 'e': 0.911791}",25,0,-218.54443968068884,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
